"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 26 19:14:07 MSK 2025","Thu Jun 26 19:14:08 MSK 2025","671","tests","test_ingredient_counter","TestIngredientCounter","","","Увеличение счётчика ингредиента при добавлении в корзину",""
"passed","Thu Jun 26 19:14:25 MSK 2025","Thu Jun 26 19:14:26 MSK 2025","1008","tests","test_ingredient_popup","TestIngredientPopup","","","Открытие и закрытие попапа с деталями ингредиента",""
"failed","Thu Jun 26 19:15:07 MSK 2025","Thu Jun 26 19:15:14 MSK 2025","6331","tests","test_orders_feed","TestOrdersFeed","","","Создание заказа: счётчики и раздел «В работе»",""
"passed","Thu Jun 26 19:14:16 MSK 2025","Thu Jun 26 19:14:16 MSK 2025","153","tests","test_ingredient_popup","TestIngredientPopup","","","Открытие и закрытие попапа с деталями ингредиента",""
"passed","Thu Jun 26 19:14:52 MSK 2025","Thu Jun 26 19:14:59 MSK 2025","7424","tests","test_orders_feed","TestOrdersFeed","","","Создание заказа: счётчики и раздел «В работе»",""
"passed","Thu Jun 26 19:13:59 MSK 2025","Thu Jun 26 19:13:59 MSK 2025","165","tests","test_ingredient_counter","TestIngredientCounter","","","Увеличение счётчика ингредиента при добавлении в корзину",""
"passed","Thu Jun 26 19:14:34 MSK 2025","Thu Jun 26 19:14:34 MSK 2025","662","tests","test_navigation","TestNavigation","","","Навигация между Конструктором и Лентой заказов",""
"passed","Thu Jun 26 19:14:43 MSK 2025","Thu Jun 26 19:14:44 MSK 2025","988","tests","test_navigation","TestNavigation","","","Навигация между Конструктором и Лентой заказов",""
